customer_id,total_spent,spending_tier
tXBNlMerpUeJ,2566.9,Medium Spender
orGgRcfz0cCn,2566.9,Medium Spender
WkDFNpzzo4kH,2566.9,Medium Spender
S1abqqroFQ1e,2566.9,Medium Spender
Ou2BBnGZTAYr,2566.9,Medium Spender
MyhGGmZlZ9er,2566.9,Medium Spender
JVuk1wiN3Lav,2566.9,Medium Spender
InNHektt8pHm,2566.9,Medium Spender
B1TESUiiAv7X,2566.9,Medium Spender
Ad5zZykdo6Mn,2566.9,Medium Spender
A6wznDYWBV6T,2566.9,Medium Spender
v3z86u4DxnOM,2564.65,Medium Spender
t5FDlgl83Otq,2564.65,Medium Spender
t2iALB4mB6Jw,2564.65,Medium Spender
VEYfhBQA5K1f,2564.65,Medium Spender
TQZMo7D9ynCW,2564.65,Medium Spender
HGkTJtyOpNx7,2564.65,Medium Spender
6wh1yYqYJbgo,2564.65,Medium Spender
rTbQqpnnWCqv,2512.53,Medium Spender
n14TaCZvu9wn,2512.53,Medium Spender
YhDTyhMZtwHE,2512.53,Medium Spender
Wt5Lm4fpaPxW,2512.53,Medium Spender
MW0vwb4uzjNy,2512.53,Medium Spender
L54Rlw2yupgd,2512.53,Medium Spender
IYOg2lSURkmW,2512.53,Medium Spender
E4VnSAX0reXJ,2512.53,Medium Spender
A887EQYUVXY9,2512.53,Medium Spender
voagyVWQw6eA,2487.24,Medium Spender
6tkapiHD3iKB,2487.24,Medium Spender
0prehjAN6BOI,2480.58,Medium Spender
OxInmIUUu2UL,2467.33,Medium Spender
EkfxQDruJRB8,2467.33,Medium Spender
vSH73GQAVoeU,2467.17,Medium Spender
qLi1M2m38Plu,2467.17,Medium Spender
hm4C4JCOdr7S,2467.17,Medium Spender
ZjNIDozvbowQ,2467.17,Medium Spender
Y1lnTCiJZW9D,2467.17,Medium Spender
VTSKzKJZeP8T,2467.17,Medium Spender
PjDCrSj5cKtM,2467.17,Medium Spender
Pd5Sy61UwPYu,2467.17,Medium Spender
O7qYSrBnKKWr,2467.17,Medium Spender
JfaVMUgFzeik,2467.17,Medium Spender
pSiGYoDsg2dg,2457.44,Medium Spender
fIs7Aky6B1tl,2457.44,Medium Spender
NHFwVtETvhVA,2457.44,Medium Spender
D8uDhNDrnrUc,2457.44,Medium Spender
D0SvYIJ5PdI7,2457.44,Medium Spender
o6Kf9FYQCGZw,2455.12,Medium Spender
fATdpltpOXlf,2455.12,Medium Spender
8ygBnXULEs71,2452.12,Medium Spender
mebKPEG0FEu1,2442.82,Medium Spender
gWXIhN4AMk9T,2442.82,Medium Spender
Aoqal0pjJRqJ,2442.82,Medium Spender
Xz2ayXjrEEUH,2438.51,Medium Spender
W6ew2yGVWCfF,2438.51,Medium Spender
NFlPXiTnyisw,2438.51,Medium Spender
yKEoXEfE432q,2429.68,Medium Spender
l3fSgVjpLWwj,2429.68,Medium Spender
MgTFnyAi2pFl,2416.0,Medium Spender
3iG2pQEPZLA1,2416.0,Medium Spender
ZLXq8MtYpmVZ,2404.72,Medium Spender
vP4iU4huIZrV,2389.78,Medium Spender
igwBxcJcU7CF,2389.78,Medium Spender
oql6t3yAcQ5u,2384.5,Medium Spender
nuskeKAejlM8,2384.5,Medium Spender
mdGY11iJXKat,2384.5,Medium Spender
hixxrnGsmAsG,2384.5,Medium Spender
9eOYi8MOSjDU,2384.5,Medium Spender
jiwiNWV0kQkq,2360.42,Medium Spender
Un5dvH5bdhfm,2338.48,Medium Spender
t3qEyQIyo0Zm,2337.4,Medium Spender
fOSRq6gKtOHV,2337.4,Medium Spender
jNW5zTOIL0Bs,2333.97,Medium Spender
TZc2Kf0POXfv,2333.97,Medium Spender
81pRzMsQXJvL,2333.97,Medium Spender
LV0ji0a31gIJ,2328.4,Medium Spender
cDuXSHy0KhGK,2324.99,Medium Spender
LbmKjsdZmcVx,2324.99,Medium Spender
HqYjA1irgw9I,2324.99,Medium Spender
dhZ66Zo7SPe4,2322.32,Medium Spender
62NTlJ79gaiR,2322.32,Medium Spender
xXKXK4ndyi10,2315.83,Medium Spender
kQ5QsWgTAJMC,2315.83,Medium Spender
gEXAMqepWniq,2315.83,Medium Spender
23w3QhHtGlTO,2315.83,Medium Spender
0XWFamgDLjxv,2315.83,Medium Spender
wv4xs3Y4ulpy,2314.82,Medium Spender
wFNPSxtgN6KH,2314.82,Medium Spender
nWrlcAl6UlwI,2314.82,Medium Spender
jovPZ9j8jB4O,2314.82,Medium Spender
hpFdmzCwoGqw,2314.82,Medium Spender
ZJ62KWi57VXn,2314.82,Medium Spender
TFXCrYmTkxuP,2314.82,Medium Spender
RkxMQKbKnUa4,2314.82,Medium Spender
BxGFXMI1W2XY,2314.82,Medium Spender
BIp7GSWfhVs1,2314.82,Medium Spender
AU0h9NFhJyfD,2314.82,Medium Spender
rUZyW4DUzang,2304.68,Medium Spender
6x0b1naACJ3a,2304.68,Medium Spender
IO8qWmJ0QSXg,2288.31,Medium Spender
4sJxSbKyKAVy,2288.31,Medium Spender
xHSJEMWUmgqe,2276.1,Medium Spender
nLphLvlpg6xU,2276.1,Medium Spender
iX2Hy0e3FiBI,2276.1,Medium Spender
LvSMGci628Rk,2276.1,Medium Spender
wBlCSXbkRNXE,2269.98,Medium Spender
ZoiSXFhAyOb8,2269.98,Medium Spender
AuQ0DybMlPsa,2269.98,Medium Spender
plZPgvbqfeaa,2267.28,Medium Spender
gSKUw7EsaVIP,2267.28,Medium Spender
LEQdiajI8zWC,2267.28,Medium Spender
B65eUoBYEcRU,2267.18,Medium Spender
tsVQkDACdgZx,2264.9,Medium Spender
mccWmy1z7J7j,2264.9,Medium Spender
U6Ny1bh8fiEn,2264.9,Medium Spender
2VYDzzKT2iLr,2264.9,Medium Spender
hZKg1dpruzEc,2262.8,Medium Spender
YZqKb96NyWqF,2262.8,Medium Spender
N86BS9viBRQH,2262.8,Medium Spender
ChefDHpoYLn8,2262.8,Medium Spender
71bOpMdoNcB5,2262.8,Medium Spender
tDwZvVk5UX6J,2252.66,Medium Spender
SIfvauwjk7ar,2252.66,Medium Spender
QMtEknpTOkIy,2252.66,Medium Spender
Tg2bn3LjOXZ2,2225.69,Medium Spender
IpjL4APxBCpN,2225.69,Medium Spender
7Ksm6lYUZbE0,2223.12,Medium Spender
zKiiKZ42Wr29,2220.32,Medium Spender
p2OoA5ZM1zLj,2217.99,Medium Spender
oxJGwrdvintf,2217.99,Medium Spender
EPexo4REviYo,2213.22,Medium Spender
F4lbd3iYW1Db,2207.98,Medium Spender
W5blmN94TSQf,2204.04,Medium Spender
RQWTvmDoY0M2,2204.04,Medium Spender
yUS9ewRO29yR,2202.4,Medium Spender
vEnEEAKB6xYs,2202.4,Medium Spender
teqrON8w8DIf,2202.4,Medium Spender
pa4Pwu9ik8qH,2202.4,Medium Spender
ZP50B8TAF3T8,2202.4,Medium Spender
sS1MpZqBZKal,2190.4,Medium Spender
qy9lcYxNTU5Z,2187.42,Medium Spender
ET6Z3w4UwGyi,2187.42,Medium Spender
mJLGdDDdDwty,2183.6,Medium Spender
hfSIBxmOxxdQ,2183.6,Medium Spender
f6egYuPqSru0,2183.6,Medium Spender
d7OWaGdJBmDv,2183.6,Medium Spender
TDXRsdT0J7AY,2183.6,Medium Spender
HGAG50StLknh,2183.6,Medium Spender
BqgxOPFyiTrY,2183.6,Medium Spender
BifIXYQIfWMV,2183.6,Medium Spender
5piFizn4B3qu,2183.6,Medium Spender
4UZNbcXXfYIX,2183.6,Medium Spender
4EnmVMwA05pu,2183.6,Medium Spender
1xLPMxQsAPBY,2183.6,Medium Spender
1aieVWo3x0xQ,2183.6,Medium Spender
DlSnjsbmz0ks,2183.41,Medium Spender
kCWXhrRdhsqV,2183.15,Medium Spender
UAKHg2eRdDfb,2183.15,Medium Spender
O98nXr4PYNq7,2183.15,Medium Spender
tWbvsR1arEi3,2168.6,Medium Spender
lCUixum3xTTM,2168.6,Medium Spender
xebcbjGZegQm,2158.57,Medium Spender
xZDv8BKT42II,2158.57,Medium Spender
vpMV5eCzlzCQ,2158.57,Medium Spender
exsA53EWuypo,2158.57,Medium Spender
YyfQPspTMczm,2158.57,Medium Spender
V1uGgyKn7PIR,2158.57,Medium Spender
HeI9zcRoTCKr,2158.57,Medium Spender
uvoFOb78LKjc,2155.35,Medium Spender
XtKKa0CI6lwq,2155.35,Medium Spender
F47r760HJpsU,2154.82,Medium Spender
pO9tbCuCVUZE,2153.35,Medium Spender
iDcCpqpOsi8P,2153.35,Medium Spender
eSSyZBSISHrZ,2153.35,Medium Spender
bD9wXslZjl3u,2153.35,Medium Spender
NZWCuCROhqpg,2153.35,Medium Spender
LVEnyjjU9K5g,2153.35,Medium Spender
GwhZYngqFSuf,2153.35,Medium Spender
F67l76oECOO6,2153.35,Medium Spender
8LMLkFxzJojP,2153.35,Medium Spender
2S4TSf2A9tgw,2153.35,Medium Spender
HawRtqIzYhyf,2152.92,Medium Spender
4gfIRUzKs3EG,2151.29,Medium Spender
gj8jF05xFR7T,2150.22,Medium Spender
WJ9zjPT3outz,2150.22,Medium Spender
O6KjyDfdsLoi,2150.22,Medium Spender
NMOTfbhv3YiA,2150.22,Medium Spender
F8jdfpgv555c,2150.22,Medium Spender
AbdyyfUg0j1o,2150.22,Medium Spender
zMVZLcvWPTO6,2133.69,Medium Spender
93QH6BZWe9C9,2124.78,Medium Spender
3n4zfQ6ejioE,2115.79,Medium Spender
ugP39jdF9hdT,2115.05,Medium Spender
aaE3Lv1QpCla,2115.05,Medium Spender
Aa7fXtqtkSHw,2115.05,Medium Spender
zv87usJViFsh,2114.63,Medium Spender
ytdZELeumyNy,2114.63,Medium Spender
x0A5gDUbfXoi,2110.57,Medium Spender
kh0dxO8u3lpZ,2110.57,Medium Spender
YEYr3BF3TMAX,2110.57,Medium Spender
