customer_id,total_spent
cDuXSHy0KhGK,2324.99
LbmKjsdZmcVx,2324.99
HqYjA1irgw9I,2324.99
dhZ66Zo7SPe4,2322.32
62NTlJ79gaiR,2322.32
xXKXK4ndyi10,2315.83
kQ5QsWgTAJMC,2315.83
gEXAMqepWniq,2315.83
23w3QhHtGlTO,2315.83
0XWFamgDLjxv,2315.83
wv4xs3Y4ulpy,2314.82
wFNPSxtgN6KH,2314.82
nWrlcAl6UlwI,2314.82
jovPZ9j8jB4O,2314.82
hpFdmzCwoGqw,2314.82
ZJ62KWi57VXn,2314.82
TFXCrYmTkxuP,2314.82
RkxMQKbKnUa4,2314.82
BxGFXMI1W2XY,2314.82
BIp7GSWfhVs1,2314.82
AU0h9NFhJyfD,2314.82
rUZyW4DUzang,2304.68
6x0b1naACJ3a,2304.68
IO8qWmJ0QSXg,2288.31
4sJxSbKyKAVy,2288.31
xHSJEMWUmgqe,2276.1
nLphLvlpg6xU,2276.1
iX2Hy0e3FiBI,2276.1
LvSMGci628Rk,2276.1
wBlCSXbkRNXE,2269.98
ZoiSXFhAyOb8,2269.98
AuQ0DybMlPsa,2269.98
plZPgvbqfeaa,2267.28
gSKUw7EsaVIP,2267.28
LEQdiajI8zWC,2267.28
B65eUoBYEcRU,2267.18
tsVQkDACdgZx,2264.9
mccWmy1z7J7j,2264.9
U6Ny1bh8fiEn,2264.9
2VYDzzKT2iLr,2264.9
hZKg1dpruzEc,2262.8
YZqKb96NyWqF,2262.8
N86BS9viBRQH,2262.8
ChefDHpoYLn8,2262.8
71bOpMdoNcB5,2262.8
tDwZvVk5UX6J,2252.66
SIfvauwjk7ar,2252.66
QMtEknpTOkIy,2252.66
Tg2bn3LjOXZ2,2225.69
IpjL4APxBCpN,2225.69
7Ksm6lYUZbE0,2223.12
zKiiKZ42Wr29,2220.32
p2OoA5ZM1zLj,2217.99
oxJGwrdvintf,2217.99
EPexo4REviYo,2213.22
F4lbd3iYW1Db,2207.98
W5blmN94TSQf,2204.04
RQWTvmDoY0M2,2204.04
yUS9ewRO29yR,2202.4
vEnEEAKB6xYs,2202.4
teqrON8w8DIf,2202.4
pa4Pwu9ik8qH,2202.4
ZP50B8TAF3T8,2202.4
sS1MpZqBZKal,2190.4
qy9lcYxNTU5Z,2187.42
ET6Z3w4UwGyi,2187.42
mJLGdDDdDwty,2183.6
hfSIBxmOxxdQ,2183.6
f6egYuPqSru0,2183.6
d7OWaGdJBmDv,2183.6
TDXRsdT0J7AY,2183.6
HGAG50StLknh,2183.6
BqgxOPFyiTrY,2183.6
BifIXYQIfWMV,2183.6
5piFizn4B3qu,2183.6
4UZNbcXXfYIX,2183.6
4EnmVMwA05pu,2183.6
1xLPMxQsAPBY,2183.6
1aieVWo3x0xQ,2183.6
DlSnjsbmz0ks,2183.41
kCWXhrRdhsqV,2183.15
UAKHg2eRdDfb,2183.15
O98nXr4PYNq7,2183.15
tWbvsR1arEi3,2168.6
lCUixum3xTTM,2168.6
xebcbjGZegQm,2158.57
xZDv8BKT42II,2158.57
vpMV5eCzlzCQ,2158.57
exsA53EWuypo,2158.57
YyfQPspTMczm,2158.57
V1uGgyKn7PIR,2158.57
HeI9zcRoTCKr,2158.57
uvoFOb78LKjc,2155.35
XtKKa0CI6lwq,2155.35
F47r760HJpsU,2154.82
pO9tbCuCVUZE,2153.35
iDcCpqpOsi8P,2153.35
eSSyZBSISHrZ,2153.35
bD9wXslZjl3u,2153.35
NZWCuCROhqpg,2153.35
LVEnyjjU9K5g,2153.35
GwhZYngqFSuf,2153.35
F67l76oECOO6,2153.35
8LMLkFxzJojP,2153.35
2S4TSf2A9tgw,2153.35
HawRtqIzYhyf,2152.92
4gfIRUzKs3EG,2151.29
gj8jF05xFR7T,2150.22
WJ9zjPT3outz,2150.22
O6KjyDfdsLoi,2150.22
NMOTfbhv3YiA,2150.22
F8jdfpgv555c,2150.22
AbdyyfUg0j1o,2150.22
zMVZLcvWPTO6,2133.69
93QH6BZWe9C9,2124.78
3n4zfQ6ejioE,2115.79
ugP39jdF9hdT,2115.05
aaE3Lv1QpCla,2115.05
Aa7fXtqtkSHw,2115.05
zv87usJViFsh,2114.63
ytdZELeumyNy,2114.63
x0A5gDUbfXoi,2110.57
kh0dxO8u3lpZ,2110.57
YEYr3BF3TMAX,2110.57
zIuFaia96Pe8,2106.55
lvc9iV4mlHD1,2105.57
fShUHiIuHSqx,2105.57
wFbezvZ2B5Kj,2098.4
45IfdLiws0AF,2098.4
knDVKM1Dk90K,2096.14
R2PuGPnu5gyO,2096.14
61Fo07V4l8yo,2094.44
1OKcHmRsMCL6,2094.44
zD0vhwtYtLUO,2092.86
5unsLrghjVTB,2092.86
V9sdv1O4Klks,2091.33
A7WEMMnrhaF0,2091.33
5tzTGn3grGsl,2091.33
4y5lSz3qSPbH,2091.33
kS6PYEAx1Zzm,2083.09
ssyeL7ZbIvLk,2082.36
xfDz2ImEfZnJ,2075.48
Zxe44U6pKvxr,2075.48
Z7yTdVeUWMDW,2075.48
T9ESvmCbgTgG,2075.48
EtiWoKQbybSW,2075.48
tS1Ft9fjbKK9,2073.25
qVHhm9E0Xqh1,2073.25
pJj2pk9Blkq9,2073.25
mu5iID3Ye2v7,2073.25
lDaBjFIQzqsb,2073.25
kc78UrDJzwPo,2073.25
ffnQpxYCfR7x,2073.25
fc9nYaM15XLs,2073.25
aaJQVOK3SyTn,2073.25
YK6PlAkWb0YU,2073.25
XHzJ8E5TMKJ6,2073.25
RwH0IodqHuy4,2073.25
NlXPMmdXObBs,2073.25
M0vF9Ydog7dO,2073.25
IcUg9ypFteGi,2073.25
Cx3oIFCnvwOu,2073.25
CBtZzqa6Ikey,2073.25
9m7nZGFn4PmC,2073.25
8iTSkvms08gK,2073.25
5w4Ti64w3MKc,2073.25
18CJ0ulgH7ai,2073.25
BNHPPHnm0dzo,2067.42
xG19tXjP5oU3,2065.77
jBUrzt0Mt06j,2065.77
O2cjHr7hYvtq,2065.77
RtkfRlprXmzs,2065.35
q2Dp6KjI24rN,2064.88
p2fd7yCcKuxP,2064.88
hMU0Oanyp6tC,2064.88
tklNGykHfzQl,2060.51
avl7faPf3gBR,2060.51
RgsHAAWYxH4g,2060.51
JxX6NOxRSg0a,2060.51
BbF91vOnyI1y,2060.51
44LK77F7cc6w,2060.51
3SoA5EoWTNaT,2060.51
13cELnuVbAfb,2060.51
xpJy11CW7tu0,2060.2
ZXT5ZOaqUEG9,2060.2
7VhuNxFVYD9t,2060.2
bywKBs6SVo2Y,2055.84
WZnzrEIGD0l4,2055.84
F9oiw7OlouWN,2055.84
0yYvoVXpPFlh,2055.84
0OteAHlnzzQE,2055.84
rHiRV2bWvgga,2045.47
qZHFmmpwBHad,2045.47
nzAkS9meIvgg,2045.47
guC36oOJmZMA,2045.47
XsNJYeMCqjnx,2045.47
RRX9wI4o2SLE,2045.47
LoQZdLgSUZd0,2045.47
57eWZOx2MEbG,2045.47
Y7ue4ZES8Vf2,2039.31
PeLX49sEhb1V,2039.31
6meec8LUNR12,2039.31
DYTbqvAVcoSD,2039.2
i9PhBDW15ail,2036.86
50eawYS4QA3S,2036.04
qMfikjuBoFfo,2035.86
VWA6Tqzo6jDU,2035.86
NZ8acvTMxCaa,2035.86
2qZHCfioJ9AS,2035.86
vf7AuafGuRia,2034.31
lLoUB22Sv2KA,2034.31
UivWxN2aBKeg,2034.31
RwArI5y9MN7r,2033.48
zMi7isjbVPQO,2032.04
sKVTR6Y3NAN5,2032.04
rhgDQP8tit4p,2032.04
nkytCUbZbeYa,2032.04
keCf6dBORjmc,2032.04
hylcIOjkdTRu,2032.04
exyvtlNF0bpK,2032.04
XxDvTF9kEhgX,2032.04
Xusii2nl7D62,2032.04
XLBISosKibZM,2032.04
U3vpYJkrEYjs,2032.04
TVhM4iRxddm2,2032.04
S2t8sechcimW,2032.04
L3Nn4lVwV0an,2032.04
JvDp7z0MY5Hh,2032.04
Ip3xxVPPFikc,2032.04
CNDAB0xqKD8k,2032.04
A0BgCIog6WVI,2032.04
77xDpuU9Uo3k,2032.04
5dQt0zI3AgZu,2032.04
29MG4mTLul33,2032.04
evDeMTLQDn2z,2032.0
UWSNYzpnWesF,2032.0
RcQ4GJvmtbot,2032.0
OR0JcbCyqyYP,2032.0
LtHmd1Y22uL7,2032.0
9jNCEvOWj8ij,2032.0
8YWtMFv6STXA,2032.0
2QNUFOSthtYs,2032.0
dpxxHQXwwO35,2031.47
bmTGn17KyY9y,2031.47
V1Zpa8btlc7b,2031.47
TrmM4Tx2USqN,2031.47
32FmueQiqXd2,2031.47
yUCxVdKqphur,2031.09
x4U0MVnGUi6S,2031.09
t8mmUxMvR90p,2031.09
HuvEOkiPkmUA,2031.09
55sniQKmYehw,2031.09
1JVKlLuc7ZeH,2031.09
BkFfo4YTSyFn,2029.62
lX1E6Er04jIW,2028.75
45S1pMgHjiEN,2028.75
2YJ5V3K7pFgF,2028.65
Wog155cVQhgs,2027.65
5lgIbZHqj2fX,2027.26
1CudNfZvhLsI,2027.26
lduW7BJq5m6H,2027.16
Y156eqoQiCKW,2027.16
lWE2UnJbFpzj,2026.54
enLG9FlRI65D,2026.54
asMS7qk896g9,2026.54
YkEvY59WT3xC,2026.54
J9bVOdMSI4Rb,2026.54
De9LTdcnlJ3u,2026.54
a2MmMJ4SUAIU,2024.31
IFbhYJmdPmis,2024.31
FoBmGsO0GsCn,2024.31
vEWT1cIcsdMJ,2023.58
krQ2spokPuSx,2023.58
bVNM0iRcUKME,2023.0
oTcvn7O2anLk,2022.33
jv3Yj726rVP4,2022.33
lTM3ushHjA0m,2017.08
fNx7meEu76V4,2009.62
tvM2jPwJqVjs,1996.32
pYcHEFT1yBqP,1996.32
5kIEkmyGZsmJ,1995.69
rTl5QDHV1AgN,1992.42
qHI5F4p0smKm,1992.42
j4oVZw9vzkjL,1992.42
fZPDkuahwe48,1992.42
enqEkDFtjh8A,1992.42
Y2EmXCWgeVEM,1992.42
Vm4lPxmTEGFF,1992.42
LWbHUlAAku2k,1992.42
JgTS0eYGgKuM,1992.42
7P3v9bpJ0cML,1992.42
6yAGQEwu8jxU,1992.42
z9wZR1FDhnbW,1989.96
wrxoCqksgQAa,1989.96
qt5YvfZt5pBf,1989.75
qNMCyKXGsH7A,1989.75
hPOB1ifQk4Pd,1989.75
dct33BfflxRj,1989.75
P3TOJAWVCIJ4,1989.75
HtC14lIn6fty,1989.75
yrx4iPAefuDF,1988.55
xlL9MeczLyqb,1988.55
sRflGaYjADDY,1988.55
qXotfP8tum76,1988.55
eUiPDTWLhXNY,1988.55
d1f5ROjV5w96,1988.55
T4KjV4D01RNv,1988.55
SiMGlQ7ph4sD,1988.55
MNThP5OrImRP,1988.55
HoR9wX5zwcVF,1988.55
DvspC9IrrJMw,1988.55
9T3JAh661SRj,1988.55
8urzVoWfBego,1988.55
7ctuCuvoWJFv,1988.55
78PNkJqiH47u,1988.55
1p90xcKIUQdr,1988.55
SsJ8sEUF42kD,1981.22
vVfu8mHcNUs5,1980.71
hm10Smk74A57,1980.71
wKMbNfaLk9dI,1978.18
Sq8mMKpNTbAr,1978.18
C43QU14ekXcw,1978.18
0fw0ZVrKGKbv,1978.18
jvX1f7Ibwytr,1972.03
bIKX6N0eapJP,1972.03
MSODe3yuN562,1972.03
yNWNJl0dKucg,1966.91
bek75Lj2t6tw,1966.91
XQuLGkPrGRb5,1966.91
7lhcNdDxb0KE,1966.91
oyCfjHCgnnqr,1963.97
mnL1H4idmwyS,1963.97
JLg23kbePtLn,1963.97
7b3hPqey15Au,1963.97
0XIFWUqwShyn,1963.97
uK4lPrhNzdII,1963.14
ix3wB1MGJDzh,1963.14
dOQ47EX6dqTk,1963.14
cBrci08CROA4,1963.14
C752NdCF2DmL,1963.14
EBpiOJjdJ9mf,1961.0
D8iNuLz8o71l,1961.0
x108pKv0po6w,1951.95
pzsS3xSfqMnA,1951.95
jE31znYBl8o3,1951.95
ge1Y6UPn5vTd,1951.95
enKYqJAGTHf0,1951.95
blq3OGmCUgyt,1951.95
VHiGUFRYfsug,1951.95
QOY08CrZkXeA,1951.95
By2SuIc55cQI,1951.95
BlUWBvyu4XvZ,1951.95
An3Ri23U2PAv,1951.95
1yf2g4cBGGsj,1951.95
0mz4FQhPrOQA,1951.95
n2oGsSZvrOka,1950.2
SyndnjTQJ2xn,1950.2
tYr66O9ggM0u,1949.52
Icp7FijdlLKn,1944.86
5NevntI8d1Ds,1944.86
qYWtVGd4BDes,1942.0
fUnhDe4LnL1f,1942.0
JpUSpyQNnUFU,1937.64
